iter	MultiClass
503	0.5799888779
504	0.579952711
505	0.5799258565
506	0.5799053609
507	0.579894363
508	0.579871559
509	0.5798556181
510	0.5798484097
511	0.5798397333
512	0.5798051024
513	0.5797725031
514	0.579737979
515	0.5797166733
516	0.5796912423
517	0.5796598481
518	0.5796333786
519	0.5796136631
520	0.5795828763
521	0.5795483372
522	0.5795329678
523	0.5795094128
524	0.5794982822
525	0.5794836301
526	0.5794664434
527	0.5794384501
528	0.5794176507
529	0.5794036181
530	0.5793942952
531	0.5793645813
532	0.5793541861
533	0.5793418242
534	0.579320578
535	0.5793016749
536	0.5792876225
537	0.5792565793
538	0.5792309707
539	0.5792106257
540	0.5791872663
541	0.5791651109
542	0.5791454846
543	0.579110429
544	0.5790867994
545	0.5790551611
546	0.5790364626
547	0.5790129705
548	0.5789947931
549	0.5789738223
550	0.5789430823
551	0.5788931629
552	0.5788554346
553	0.5788413224
554	0.5788261231
555	0.578814865
556	0.5787924737
557	0.5787749371
558	0.5787601761
559	0.5787317708
560	0.5787164456
561	0.5786945418
562	0.5786655189
563	0.5786262039
564	0.5785924711
565	0.57857112
566	0.5785547227
567	0.5785309338
568	0.5785119692
569	0.5784696818
570	0.578452483
571	0.5784162894
572	0.5784022309
573	0.5783908379
574	0.5783448223
575	0.5783251292
576	0.5782886516
577	0.5782653356
578	0.5782576381
579	0.5782463635
580	0.5782249748
581	0.5781956688
582	0.5781796136
583	0.5781574667
584	0.5781475801
585	0.57812851
586	0.578119485
587	0.5781134752
588	0.5781007489
589	0.5780753232
590	0.5780588166
591	0.5780358106
592	0.5780250744
593	0.5780051067
594	0.5779815371
595	0.5779581674
596	0.5779317873
597	0.5779077355
598	0.5778856371
599	0.5778674546
600	0.5778523301
601	0.5778350509
602	0.5778050388
603	0.5777913373
604	0.5777719618
605	0.5777648137
606	0.5777490978
607	0.5777227998
608	0.5777128937
609	0.5777008623
610	0.5776794164
611	0.5776722101
612	0.5776677975
613	0.5776386607
614	0.5776231249
615	0.5775794545
616	0.57755898
617	0.5775475562
618	0.5775339437
619	0.5775163811
620	0.5775000168
621	0.5774869615
622	0.5774722319
623	0.5774443864
624	0.5774414233
625	0.5774296814
626	0.577410652
627	0.5773997869
628	0.5773798243
629	0.5773650189
630	0.5773488797
631	0.5773290365
632	0.5773237572
633	0.5773097282
634	0.5772936238
635	0.5772738481
636	0.5772552602
637	0.5772236998
638	0.5772102638
639	0.5771780403
640	0.5771475175
641	0.5771388502
642	0.5771047143
643	0.577093483
644	0.5770804763
645	0.5770554945
646	0.5770403392
647	0.5770233545
648	0.5770001359
649	0.576977433
650	0.5769551
651	0.5769437759
652	0.57693406
653	0.5769131322
654	0.5769013454
655	0.5768881675
656	0.5768821052
657	0.5768600544
658	0.5768513246
659	0.5768189678
660	0.5767964736
661	0.5767884902
662	0.5767746978
663	0.5767641798
664	0.5767472715
665	0.5767397239
666	0.5767078162
667	0.5766906661
668	0.5766732376
669	0.576661013
670	0.5766489563
671	0.5766082938
672	0.5765973182
673	0.5765831149
674	0.5765755819
675	0.576561353
676	0.5765506592
677	0.5765355907
678	0.5765177666
679	0.5764959452
680	0.5764638614
681	0.5764460473
682	0.5764289152
683	0.5764058963
684	0.5763883202
685	0.576382862
686	0.5763576112
687	0.5763399178
688	0.5763278488
689	0.5763128819
690	0.5762928724
691	0.5762877309
692	0.5762764311
693	0.5762693371
694	0.5762576724
695	0.5762496161
696	0.5762415406
697	0.5762261549
698	0.5762016447
699	0.5761862523
700	0.5761507682
701	0.5761350525
702	0.5761139445
703	0.5760885208
704	0.5760740038
705	0.5760564924
706	0.5760410873
707	0.5760251763
708	0.5760203587
709	0.5760093875
710	0.5759930993
711	0.5759688371
712	0.5759525667
713	0.5759436964
714	0.5759281886
715	0.5759073374
716	0.5758932968
717	0.5758842127
718	0.575865987
719	0.5758421443
720	0.5758181247
721	0.5757995087
722	0.575782299
723	0.575761479
724	0.5757475674
725	0.5757364909
726	0.5757240641
727	0.5757150287
728	0.575706236
729	0.5756958804
730	0.5756756041
731	0.5756682584
732	0.5756577284
733	0.5756494658
734	0.5756326339
735	0.5756092224
736	0.5755948069
737	0.5755869757
738	0.5755750482
739	0.5755616782
740	0.5755404664
741	0.575523582
742	0.5755020618
743	0.5754915693
744	0.5754858997
745	0.5754696227
746	0.5754589518
747	0.5754296969
748	0.575400731
749	0.5753861432
750	0.575362455
751	0.5753406676
752	0.575332869
753	0.575323776
754	0.5752983575
755	0.5752832989
756	0.5752620211
757	0.5752363641
758	0.5752294777
759	0.5752211826
760	0.5752105981
761	0.5752012668
762	0.5751891196
763	0.5751692086
764	0.5751622164
765	0.575135616
766	0.5751151579
767	0.5751050998
768	0.5750906849
769	0.5750856404
770	0.5750724805
771	0.5750520427
772	0.5750433388
773	0.5750290524
774	0.5750110799
775	0.5749814589
776	0.5749557718
777	0.5749347018
778	0.5749184549
779	0.5748984279
780	0.5748830744
781	0.5748663648
782	0.574856023
783	0.5748342823
784	0.5748176411
785	0.5748098931
786	0.5747980624
787	0.5747801973
788	0.5747621536
789	0.5747533619
790	0.5747436481
791	0.5747350515
792	0.5747290943
793	0.5747196732
794	0.5746988444
795	0.5746864399
796	0.5746766448
797	0.5746605344
798	0.5746472399
799	0.5746407615
800	0.5746279581
801	0.5746176987
802	0.5746040827
803	0.5745959825
804	0.5745782382
805	0.5745649176
806	0.5745591063
807	0.5745451642
808	0.5745374761
809	0.5745251772
810	0.5745077874
811	0.5744873368
812	0.5744867893
813	0.5744777357
814	0.5744720054
815	0.5744528076
816	0.5744369748
817	0.5744249416
818	0.5744075009
819	0.5743906298
820	0.5743826954
821	0.5743724241
822	0.5743650164
823	0.5743430379
824	0.574321507
825	0.574303061
826	0.5742951094
827	0.574285949
828	0.5742708748
829	0.5742420749
830	0.5742297617
831	0.5742232701
832	0.5741988899
833	0.5741867857
834	0.574179516
835	0.5741639744
836	0.5741546366
837	0.5741446354
838	0.5741322257
839	0.5741155236
840	0.5740997104
841	0.5740915112
842	0.574082294
843	0.5740776398
844	0.5740690447
845	0.5740508442
846	0.5740401441
847	0.5740264585
848	0.5740066206
849	0.5739975619
850	0.573982216
851	0.5739772427
852	0.5739648962
853	0.573954781
854	0.5739449005
855	0.5739268344
856	0.5739129006
857	0.5738980947
858	0.5738857033
859	0.5738679678
860	0.573858679
861	0.5738429139
862	0.5738271707
863	0.5738192828
864	0.5738060015
865	0.5737874107
866	0.5737536077
867	0.5737209277
868	0.5736870392
869	0.5736797458
870	0.5736667813
871	0.5736643353
872	0.5736600411
873	0.5736546423
874	0.5736329627
875	0.5736195979
876	0.5736131324
877	0.5736032754
878	0.5735984681
879	0.5735800526
880	0.5735699908
881	0.5735618913
882	0.5735534884
883	0.5735364297
884	0.5735261858
885	0.5735187414
886	0.5735117696
887	0.5735065689
888	0.573495073
889	0.5734807559
890	0.5734708607
891	0.573457947
892	0.5734511807
893	0.5734366327
894	0.5734317156
895	0.5734238746
896	0.5734037396
897	0.5733983419
898	0.5733924136
899	0.5733809035
900	0.5733707585
901	0.5733586215
902	0.5733431645
903	0.5733292136
904	0.5733240858
905	0.5733085841
906	0.5733038827
907	0.5732908765
908	0.5732830954
909	0.5732655605
910	0.5732556342
911	0.5732527985
912	0.5732455845
913	0.5732350888
914	0.5732307687
915	0.5732192399
916	0.573212678
917	0.5732034758
918	0.573195405
919	0.57319306
920	0.5731812554
921	0.5731749414
922	0.5731691568
923	0.5731581366
924	0.5731536484
925	0.5731425273
926	0.5731398085
927	0.5731220851
928	0.5731084925
929	0.5731025673
930	0.5730973847
931	0.5730938982
932	0.5730850204
933	0.5730811149
934	0.5730739229
935	0.5730549686
936	0.5730451312
937	0.5730421971
938	0.5730261906
939	0.573020202
940	0.5730118326
941	0.5730076747
942	0.5729961813
943	0.572986061
944	0.5729742318
945	0.5729724575
946	0.572968073
947	0.572966439
948	0.5729502121
949	0.5729412105
950	0.5729239311
951	0.5729158956
952	0.5729104353
953	0.5729011189
954	0.572888522
955	0.5728818971
956	0.5728783027
957	0.5728742238
958	0.5728614966
959	0.5728568179
960	0.5728441447
961	0.5728415793
962	0.5728326671
963	0.5728204553
964	0.5728086842
965	0.5728013013
966	0.5727930083
967	0.5727804879
968	0.5727708681
969	0.5727605443
970	0.5727394322
971	0.5727310935
972	0.5727170551
973	0.5727068677
974	0.5727007087
975	0.572687324
976	0.5726674909
977	0.572652716
978	0.572646715
979	0.572625644
980	0.5726152084
981	0.5726079617
982	0.572597275
983	0.5725864768
984	0.5725638325
985	0.5725575484
986	0.5725497401
987	0.5725449008
988	0.5725315743
989	0.5725161105
990	0.5725055218
991	0.5724868791
992	0.5724793845
993	0.5724759073
994	0.572464234
995	0.5724512704
996	0.5724340379
997	0.5724223285
998	0.5724092104
999	0.5723922574
